is_generator,own,entity,years,hour,offer,limit,taken,price
True,False,Wind (On+Offshore),1,216,0.0,15.445452367685862,0.0,100.0
True,False,Wind (On+Offshore),1,217,0.0,15.138258120753614,0.0,100.0
True,False,Wind (On+Offshore),1,218,0.0,14.905698520736864,0.0,100.0
True,False,Wind (On+Offshore),1,219,0.0,14.879078285622583,0.0,100.0
True,False,Wind (On+Offshore),1,220,0.0,14.90390206315246,0.0,100.0
True,False,Wind (On+Offshore),1,221,0.0,14.838086389833114,0.0,100.0
True,False,Wind (On+Offshore),1,222,0.0,14.755775969602466,0.0,100.0
True,False,Wind (On+Offshore),1,223,0.0,14.245092072655556,0.0,100.0
True,False,Wind (On+Offshore),1,224,0.0,13.857873806054624,0.0,100.0
True,False,Wind (On+Offshore),1,225,0.0,13.3684207714688,0.0,100.0
True,False,Wind (On+Offshore),1,226,0.0,12.384288643869803,0.0,100.0
True,False,Wind (On+Offshore),1,227,0.0,11.324705297726045,0.0,100.0
True,False,Wind (On+Offshore),1,228,0.0,11.18915440726684,0.0,125.0
True,False,Wind (On+Offshore),1,229,0.0,11.481976993523894,0.0,125.0
True,False,Wind (On+Offshore),1,230,0.0,12.047697818283751,0.0,125.0
True,False,Wind (On+Offshore),1,231,0.0,12.580592463546868,0.0,100.0
True,False,Wind (On+Offshore),1,232,0.0,12.836179383509103,0.0,100.0
True,False,Wind (On+Offshore),1,233,0.0,13.398797236077728,0.0,100.0
True,False,Wind (On+Offshore),1,234,0.0,14.31695037603152,0.0,100.0
True,False,Wind (On+Offshore),1,235,0.0,15.067543017658632,0.0,100.0
True,False,Wind (On+Offshore),1,236,0.0,15.718187291862815,0.0,100.0
True,False,Wind (On+Offshore),1,237,0.0,16.449998786016668,0.0,100.0
True,False,Wind (On+Offshore),1,238,0.0,17.194222168935454,0.0,100.0
True,False,Wind (On+Offshore),1,239,0.0,17.717154640321446,0.0,100.0
True,False,Wind (On+Offshore),1,240,0.0,17.40408107765844,0.0,100.0
True,False,Wind (On+Offshore),1,241,0.0,16.31836743937797,0.0,100.0
True,False,Wind (On+Offshore),1,242,0.0,15.388455667962656,0.0,100.0
True,False,Wind (On+Offshore),1,243,0.0,14.309437917042215,0.0,100.0
True,False,Wind (On+Offshore),1,244,0.0,13.58905842569818,0.0,100.0
True,False,Wind (On+Offshore),1,245,0.0,14.151676278266802,0.0,100.0
True,False,Wind (On+Offshore),1,246,0.0,14.88626411596018,0.0,100.0
True,False,Wind (On+Offshore),1,247,0.0,14.757409112861009,0.0,100.0
True,False,Wind (On+Offshore),1,248,0.0,14.35353278502292,0.0,100.0
True,False,Wind (On+Offshore),1,249,0.0,14.527789170709632,0.0,100.0
True,False,Wind (On+Offshore),1,250,0.0,14.914354180007146,0.0,100.0
True,False,Wind (On+Offshore),1,251,0.0,15.614646009271086,0.0,100.0
True,False,Wind (On+Offshore),1,252,0.0,16.64989552086253,0.0,100.0
True,False,Wind (On+Offshore),1,253,0.0,17.389382788331535,0.0,100.0
True,False,Wind (On+Offshore),1,254,0.0,17.870833420950497,0.0,100.0
True,False,Wind (On+Offshore),1,255,0.0,18.02500214455711,0.0,100.0
True,False,Wind (On+Offshore),1,256,0.0,17.58193037851395,0.0,100.0
True,False,Wind (On+Offshore),1,257,0.0,17.018169325664346,0.0,100.0
True,False,Wind (On+Offshore),1,258,0.0,16.317550867748697,0.0,100.0
True,False,Wind (On+Offshore),1,259,0.0,15.498529523588564,0.0,100.0
True,False,Wind (On+Offshore),1,260,0.0,14.792031749942154,0.0,100.0
True,False,Wind (On+Offshore),1,261,0.0,13.886127184427446,0.0,100.0
True,False,Wind (On+Offshore),1,262,0.0,13.286436979889857,0.0,100.0
True,False,Wind (On+Offshore),1,263,0.0,12.501221701181596,0.0,100.0
True,False,Wind (On+Offshore),1,264,0.0,12.793064401483525,0.0,100.0
True,False,Wind (On+Offshore),1,265,0.0,12.424300653704146,0.0,100.0
True,False,Wind (On+Offshore),1,266,0.0,12.03806227305834,0.0,100.0
True,False,Wind (On+Offshore),1,267,0.0,11.682363671347318,0.0,100.0
True,False,Wind (On+Offshore),1,268,0.0,11.484916651389272,0.0,100.0
True,False,Wind (On+Offshore),1,269,0.0,11.137873708948538,0.0,100.0
True,False,Wind (On+Offshore),1,270,0.0,10.691209027736582,0.0,100.0
True,False,Wind (On+Offshore),1,271,0.0,10.343022885014866,0.0,100.0
True,False,Wind (On+Offshore),1,272,0.0,10.018027376564484,0.0,100.0
True,False,Wind (On+Offshore),1,273,0.0,9.974259137235489,0.0,100.0
True,False,Wind (On+Offshore),1,274,0.0,9.56009400686857,0.0,100.0
True,False,Wind (On+Offshore),1,275,0.0,9.185614257684284,0.0,124.99999999999997
True,False,Wind (On+Offshore),1,276,0.0,9.337496580728937,0.0,125.0
True,False,Wind (On+Offshore),1,277,0.0,9.367383102360304,0.0,124.99999999999997
True,False,Wind (On+Offshore),1,278,0.0,9.40200573944145,0.0,125.0
True,False,Wind (On+Offshore),1,279,0.0,9.346642182976783,0.0,125.0
True,False,Wind (On+Offshore),1,280,0.0,9.416214085790786,0.0,100.0
True,False,Wind (On+Offshore),1,281,0.0,9.982914796505776,0.0,100.0
True,False,Wind (On+Offshore),1,282,0.0,10.938466917080238,0.0,100.0
True,False,Wind (On+Offshore),1,283,0.0,11.92210910170167,0.0,100.0
True,False,Wind (On+Offshore),1,284,0.0,12.826543838283689,0.0,100.0
True,False,Wind (On+Offshore),1,285,0.0,13.17962941078104,0.0,100.0
True,False,Wind (On+Offshore),1,286,0.0,13.351599395905788,0.0,100.0
True,False,Wind (On+Offshore),1,287,0.0,13.29688909674454,0.0,100.0
True,False,Wind (On+Offshore),1,288,0.0,13.935774739487206,0.0,100.0
True,False,Wind (On+Offshore),1,289,0.0,14.174866912538135,0.0,100.0
True,False,Wind (On+Offshore),1,290,0.0,14.343407296819944,0.0,100.0
True,False,Wind (On+Offshore),1,291,0.0,14.443029035591168,0.0,100.0
True,False,Wind (On+Offshore),1,292,0.0,14.490063561437251,0.0,100.0
True,False,Wind (On+Offshore),1,293,0.0,14.311887631930032,0.0,100.0
True,False,Wind (On+Offshore),1,294,0.0,13.89951895914751,0.0,100.0
True,False,Wind (On+Offshore),1,295,0.0,13.498255660523098,0.0,100.0
True,False,Wind (On+Offshore),1,296,0.0,12.788654914685454,0.0,100.0
True,False,Wind (On+Offshore),1,297,0.0,11.78410849635465,0.0,100.0
True,False,Wind (On+Offshore),1,298,0.0,10.674224337847717,0.0,100.0
True,False,Wind (On+Offshore),1,299,0.0,9.458839124838804,0.0,124.99999999999999
True,False,Wind (On+Offshore),1,300,0.0,8.66398830090513,0.0,125.0
True,False,Wind (On+Offshore),1,301,0.0,8.657619042196805,0.0,125.0
True,False,Wind (On+Offshore),1,302,0.0,8.72800751664008,0.0,125.0
True,False,Wind (On+Offshore),1,303,0.0,8.694201451188206,0.0,125.0
True,False,Wind (On+Offshore),1,304,0.0,8.533173525895705,0.0,100.0
True,False,Wind (On+Offshore),1,305,0.0,8.833671885467918,0.0,100.0
True,False,Wind (On+Offshore),1,306,0.0,9.251593245329486,0.0,100.0
True,False,Wind (On+Offshore),1,307,0.0,9.475007243098394,0.0,100.0
True,False,Wind (On+Offshore),1,308,0.0,9.530044170911347,0.0,100.0
True,False,Wind (On+Offshore),1,309,0.0,9.532820514450876,0.0,100.0
True,False,Wind (On+Offshore),1,310,0.0,9.235261812744042,0.0,100.0
True,False,Wind (On+Offshore),1,311,0.0,9.13596670262453,0.0,100.0
True,False,Wind (On+Offshore),1,312,0.0,10.23588868725434,0.0,100.0
True,False,Wind (On+Offshore),1,313,0.0,10.662465706386197,0.0,100.0
True,False,Wind (On+Offshore),1,314,0.0,11.118765932823568,0.0,100.0
True,False,Wind (On+Offshore),1,315,0.0,11.48442670841171,0.0,100.0
True,False,Wind (On+Offshore),1,316,0.0,11.756018432307682,0.0,100.0
True,False,Wind (On+Offshore),1,317,0.0,11.858253200292577,0.0,100.0
True,False,Wind (On+Offshore),1,318,0.0,11.882260406193184,0.0,100.0
True,False,Wind (On+Offshore),1,319,0.0,11.945626364624712,0.0,100.0
True,False,Wind (On+Offshore),1,320,0.0,11.914433328386512,0.0,100.0
True,False,Wind (On+Offshore),1,321,0.0,12.114003434580669,0.0,100.0
True,False,Wind (On+Offshore),1,322,0.0,12.355055379541854,0.0,100.0
True,False,Wind (On+Offshore),1,323,0.0,12.2523306685794,0.0,100.0
True,False,Wind (On+Offshore),1,324,0.0,12.681847345576635,0.0,125.0
True,False,Wind (On+Offshore),1,325,0.0,13.31387378663341,0.0,125.0
True,False,Wind (On+Offshore),1,326,0.0,14.045521966461402,0.0,125.0
True,False,Wind (On+Offshore),1,327,0.0,14.733728535612112,0.0,125.0
True,False,Wind (On+Offshore),1,328,0.0,15.0755454196255,0.0,100.0
True,False,Wind (On+Offshore),1,329,0.0,15.52988587415262,0.0,100.0
True,False,Wind (On+Offshore),1,330,0.0,16.669493239965067,0.0,100.0
True,False,Wind (On+Offshore),1,331,0.0,17.769415224594873,0.0,100.0
True,False,Wind (On+Offshore),1,332,0.0,18.58190399572083,0.0,100.0
True,False,Wind (On+Offshore),1,333,0.0,19.021546160921044,0.0,100.0
True,False,Wind (On+Offshore),1,334,0.0,19.051922625529976,0.0,100.0
True,False,Wind (On+Offshore),1,335,0.0,18.90787939012634,0.0,100.0
True,False,Wind (On+Offshore),1,336,0.0,18.61522011819514,0.0,100.0
True,False,Wind (On+Offshore),1,337,0.0,18.42757195778836,0.0,100.0
True,False,Wind (On+Offshore),1,338,0.0,18.551527531111898,0.0,100.0
True,False,Wind (On+Offshore),1,339,0.0,16.276558971959226,0.0,100.0
True,False,Wind (On+Offshore),1,340,0.0,14.832697017079912,0.0,100.0
True,False,Wind (On+Offshore),1,341,0.0,15.756729472764468,0.0,100.0
True,False,Wind (On+Offshore),1,342,0.0,15.028674208105272,0.0,100.0
True,False,Wind (On+Offshore),1,343,0.0,17.23913360854543,0.0,100.0
